Rigidity Low,Rigidity High,N,Flux,Stat sig,Syst sig,Total sig,Order,Ratio,Stat sig,Syst sig,Total sig_R,Ratio order
1,1.16,69,6.41,0.85,0.57,1.42,1.00E-03,7.78,1.04,0.59,1.63,1.00E-06
1.16,1.33,159,7.78,0.64,0.61,1.25,1.00E-03,9.7,0.8,0.63,1.43,1.00E-06
1.33,1.51,324,9.29,0.6,0.63,1.23,1.00E-03,1.23,0.08,0.07,0.15,1.00E-05
1.51,1.71,1027,1.11,0.04,0.07,0.11,1.00E-02,1.61,0.06,0.08,0.14,1.00E-05
1.71,1.92,1609,1.25,0.04,0.07,0.11,1.00E-02,1.99,0.06,0.1,0.16,1.00E-05
1.92,2.15,2285,1.36,0.04,0.07,0.11,1.00E-02,2.45,0.07,0.12,0.19,1.00E-05
2.15,2.4,3185,1.52,0.04,0.08,0.12,1.00E-02,3.13,0.08,0.15,0.23,1.00E-05
2.4,2.67,4792,1.6,0.03,0.08,0.11,1.00E-02,3.8,0.08,0.19,0.27,1.00E-05
2.67,2.97,6805,1.59,0.03,0.08,0.11,1.00E-02,4.44,0.08,0.21,0.29,1.00E-05
2.97,3.29,9281,1.67,0.03,0.08,0.11,1.00E-02,5.5,0.09,0.26,0.35,1.00E-05
3.29,3.64,10888,1.58,0.03,0.08,0.11,1.00E-02,6.2,0.1,0.29,0.39,1.00E-05
3.64,4.02,12681,1.48,0.03,0.07,0.1,1.00E-02,6.99,0.13,0.31,0.44,1.00E-05
4.02,4.43,3553,1.52,0.03,0.07,0.1,1.00E-02,8.64,0.15,0.38,0.53,1.00E-05
4.43,4.88,4670,1.38,0.02,0.06,0.08,1.00E-02,9.52,0.14,0.41,0.55,1.00E-05
4.88,5.37,6051,1.22,0.02,0.05,0.07,1.00E-02,1.03,0.01,0.04,0.05,1.00E-04
5.37,5.9,8541,1.11,0.01,0.05,0.06,1.00E-02,1.15,0.01,0.05,0.06,1.00E-04
5.9,6.47,9703,9.57,0.1,0.41,0.51,1.00E-03,1.23,0.01,0.05,0.06,1.00E-04
6.47,7.09,10734,8.52,0.08,0.36,0.44,1.00E-03,1.35,0.01,0.05,0.06,1.00E-04
7.09,7.76,11154,7.48,0.07,0.31,0.38,1.00E-03,1.46,0.01,0.06,0.07,1.00E-04
7.76,8.48,12023,6.18,0.06,0.25,0.31,1.00E-03,1.5,0.01,0.06,0.07,1.00E-04
8.48,9.26,12426,5.23,0.05,0.21,0.26,1.00E-03,1.58,0.01,0.06,0.07,1.00E-04
9.26,10.1,38386,4.47,0.02,0.17,0.19,1.00E-03,1.67,0.01,0.06,0.07,1.00E-04
10.1,11,37058,3.79,0.02,0.14,0.16,1.00E-03,1.77,0.01,0.06,0.07,1.00E-04
11,12,34784,3.04,0.02,0.11,0.13,1.00E-03,1.76,0.01,0.06,0.07,1.00E-04
12,13,28535,2.57,0.02,0.09,0.11,1.00E-03,1.85,0.01,0.07,0.08,1.00E-04
13,14.1,26843,2.15,0.01,0.08,0.09,1.00E-03,1.91,0.01,0.07,0.08,1.00E-04
14.1,15.3,24428,1.74,0.01,0.06,0.07,1.00E-03,1.91,0.01,0.07,0.08,1.00E-04
15.3,16.6,24120,1.42,0.01,0.05,0.06,1.00E-03,1.93,0.01,0.06,0.07,1.00E-04
16.6,18,23238,1.16,0.01,0.04,0.05,1.00E-03,1.96,0.01,0.06,0.07,1.00E-04
18,19.5,22957,9.52,0.07,0.32,0.39,1.00E-04,1.99,0.01,0.06,0.07,1.00E-04
19.5,21.1,20227,7.71,0.06,0.25,0.31,1.00E-04,1.99,0.01,0.06,0.07,1.00E-04
21.1,22.8,19126,6.33,0.05,0.2,0.25,1.00E-04,2.03,0.02,0.06,0.08,1.00E-04
22.8,24.7,18338,5.09,0.04,0.15,0.19,1.00E-04,2.02,0.02,0.06,0.08,1.00E-04
24.7,26.7,17664,4.03,0.03,0.11,0.14,1.00E-04,1.99,0.02,0.05,0.07,1.00E-04
26.7,28.8,14463,3.3,0.03,0.09,0.12,1.00E-04,2.01,0.02,0.05,0.07,1.00E-04
28.8,31.1,13035,2.71,0.02,0.07,0.09,1.00E-04,2.05,0.02,0.05,0.07,1.00E-04
31.1,33.5,12207,2.16,0.02,0.06,0.08,1.00E-04,2.01,0.02,0.05,0.07,1.00E-04
33.5,36.1,11756,1.81,0.02,0.05,0.07,1.00E-04,2.08,0.02,0.05,0.07,1.00E-04
36.1,38.9,9681,1.43,0.02,0.04,0.06,1.00E-04,2.02,0.02,0.05,0.07,1.00E-04
38.9,41.9,3477,1.1,0.02,0.03,0.05,1.00E-04,1.93,0.03,0.05,0.08,1.00E-04
41.9,45.1,3299,8.8,0.16,0.24,0.4,1.00E-05,1.9,0.03,0.05,0.08,1.00E-04
45.1,48.5,2742,7.19,0.14,0.2,0.34,1.00E-05,1.9,0.04,0.05,0.09,1.00E-04
48.5,52.2,2341,5.94,0.13,0.16,0.29,1.00E-05,1.93,0.04,0.05,0.09,1.00E-04
52.2,56.1,2117,4.97,0.11,0.14,0.25,1.00E-05,1.97,0.05,0.05,0.1,1.00E-04
56.1,60.3,1840,3.83,0.1,0.11,0.21,1.00E-05,1.86,0.05,0.05,0.1,1.00E-04
60.3,64.8,1606,3.16,0.08,0.09,0.17,1.00E-05,1.89,0.05,0.05,0.1,1.00E-04
64.8,69.7,1426,2.39,0.07,0.07,0.14,1.00E-05,1.75,0.05,0.05,0.1,1.00E-04
69.7,74.9,1200,2.09,0.07,0.06,0.13,1.00E-05,1.87,0.06,0.05,0.11,1.00E-04
74.9,80.5,1133,1.7,0.06,0.05,0.11,1.00E-05,1.87,0.06,0.06,0.12,1.00E-04
80.5,93,1557,1.27,0.04,0.04,0.08,1.00E-05,1.89,0.05,0.06,0.11,1.00E-04
93,108,1319,7.77,0.26,0.29,0.55,1.00E-06,1.76,0.06,0.06,0.12,1.00E-04
108,125,1031,4.94,0.21,0.21,0.42,1.00E-06,1.69,0.07,0.07,0.14,1.00E-04
125,147,890,3.41,0.17,0.16,0.33,1.00E-06,1.79,0.09,0.08,0.17,1.00E-04
147,175,833,2.34,0.13,0.13,0.26,1.00E-06,1.97,0.11,0.11,0.22,1.00E-04
175,211,119,1.12,0.12,0.09,0.21,1.00E-06,1.53,0.16,0.13,0.29,1.00E-04
211,250,84,8.21,1.04,0.73,1.77,1.00E-07,1.86,0.24,0.16,0.4,1.00E-04
250,330,77,4.37,0.7,0.55,1.25,1.00E-07,1.81,0.29,0.23,0.52,1.00E-04
330,525,63,1.33,0.36,0.39,0.75,1.00E-07,1.51,0.4,0.44,0.84,1.00E-04